cat, subCat, img, name, price, ratingScore, ratingCount, pricePerAmount
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/444262_2.jpg, Patrol Group Wiadro budowlane bez lejka 12 l, 6.99 zł, 5, 1, 6.99 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/444260_1.jpg, Patrol Group Wiadro budowlane z lejkiem 12 l, 7.99 zł, 4.5, 2, 7.99 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/281771_1.jpg, Partner Fix Pianka montażowa 750 ml, 18.99 zł, 2.5, 4, 25.32 zł / l
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/588605_1.jpg, Patrol Group Wiadro budowlane Profi bez lejka 20l, 13.99 zł, 4.6, 5, 13.99 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/444263_1.jpg, Patrol Group Wiadro budowlane z lejkiem 5 l, 5.99 zł, 5, 3, 5.99 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/628418_1.jpg, Fola Folia budowlana atestowana czarna 0.30 mm, 195.00 zł, 0, 0, 1.95 zł / m2
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/444261_1.jpg, Patrol Group Wiadro budowlane z lejkiem 20 l, 14.99 zł, 4.5, 2, 14.99 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/281731_1.jpg, Piana pistoletowa PARTNER FIX 700 ml, 25.99 zł, 2.5, 2, 37.13 zł / l
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/588604_1.jpg, Patrol Group Kastra budowlana okrągła 40 l, 34.99 zł, 5, 1, 34.99 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/263567_1.jpg, Soudal Płyn czyszczący do pianki 150 ml, 14.99 zł, 5, 2, 99.94 zł / l
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/603436_1.jpg, Soudal Klej do styropianu Soudatherm Fasada 750 ml, 46.99 zł, 4, 1, 62.66 zł / l
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/612149_1.jpg, Fola Worek budowlany czarny 160 l 5 sztuk, 17.45 zł, 4, 1, 3.49 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/638141_1.jpg, Jan Niezbędny Worki budowlane 300l, 34.99 zł, 0, 0, 5.84 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/607284_1.jpg, Fola Worek budowlany 70 l 5 sztuk, 11.99 zł, 0, 0, 11.99 zł / szt.
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/534640_1.jpg, Fola Folia budowlana atestowana czarna 0.15 mm, 99.99 zł, 0, 0, 1.00 zł / m2
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/627006_1.jpg, Fola Folia do ochrony 200 czarna 0.06 mm, 44.99 zł, 0, 0, 1.13 zł / m2
materialy-budowlane, akcesoria-budowlane, https://images.obi.pl/product/PL/thumb/546989_1.jpg, Soudal Preparat do usuwania pianki PU Remover 100 ml, 37.99 zł, 5, 1, 379.90 zł / l
